online_order,book_table,rate,votes,cost,BTM,Banashankari,Banaswadi,Bannerghatta Road,Basavanagudi,Basaveshwara Nagar,Bellandur
0,0,3.4,8,5.703782475,0,1,0,0,0,0,0
0,0,3.700448818,0,5.521460918,0,1,0,0,0,0,0
0,0,3.2,9,5.703782475,0,1,0,0,0,0,0
0,0,3.2,4,5.703782475,0,1,0,0,0,0,0
0,0,3.1,29,5.010635294,0,1,0,0,0,0,0
0,0,3.4,8,5.991464547,0,1,0,0,0,0,0
0,0,3.700448818,0,5.010635294,0,1,0,0,0,0,0
0,0,3.700448818,0,5.703782475,0,1,0,0,0,0,0
0,0,3.700448818,0,5.298317367,0,1,0,0,0,0,0
0,0,3.700448818,0,5.010635294,0,1,0,0,0,0,0
0,0,3.700448818,0,5.010635294,0,1,0,0,0,0,0
0,0,3.700448818,0,5.521460918,0,1,0,0,0,0,0
0,0,3.1,30,6.907755279,0,1,0,0,0,0,0
1,0,4.1,201,5.703782475,0,1,0,0,0,0,0
0,0,3.3,7,5.298317367,0,1,0,0,0,0,0
0,0,3.1,6,4.605170186,0,1,0,0,0,0,0
0,0,3.3,17,5.298317367,0,1,0,0,0,0,0
0,0,2.9,25,5.298317367,0,1,0,0,0,0,0
0,0,3.700448818,0,5.991464547,0,1,0,0,0,0,0
0,0,3.700448818,0,5.857933154,0,1,0,0,0,0,0
0,0,3.3,8,4.605170186,0,1,0,0,0,0,0
0,0,3.700448818,0,5.010635294,0,1,0,0,0,0,0
0,0,3.700448818,0,5.010635294,0,1,0,0,0,0,0
0,0,3.700448818,0,5.298317367,0,1,0,0,0,0,0
0,0,3.700448818,0,5.010635294,0,1,0,0,0,0,0
0,0,3.700448818,0,5.991464547,0,1,0,0,0,0,0
0,0,3.700448818,0,5.010635294,0,1,0,0,0,0,0
0,0,3.700448818,0,5.521460918,0,1,0,0,0,0,0
0,0,3.700448818,0,5.521460918,0,1,0,0,0,0,0
0,0,3.700448818,0,5.010635294,0,1,0,0,0,0,0
0,0,3.700448818,0,5.298317367,0,1,0,0,0,0,0
0,0,3.700448818,0,5.857933154,0,1,0,0,0,0,0
0,0,3.700448818,0,5.703782475,0,1,0,0,0,0,0
1,0,4,771,6.109247583,0,1,0,0,0,0,0
0,0,3,98,6.684611728,0,1,0,0,0,0,0
1,0,3.9,47,5.298317367,0,0,0,0,1,0,0
1,1,4.1,175,6.214608098,0,0,0,0,0,0,0
1,0,3.8,58,5.703782475,0,1,0,0,0,0,0
1,0,3.8,540,6.476972363,0,0,0,0,1,0,0
1,0,3.8,124,5.991464547,0,0,0,0,0,0,0
1,0,4.1,340,6.214608098,0,1,0,0,0,0,0
1,0,3.8,505,6.109247583,0,1,0,0,0,0,0
1,0,4.1,438,6.214608098,0,0,0,0,0,0,0
1,0,3.7,264,6.620073207,0,0,0,0,0,0,0
1,0,3.9,169,5.010635294,0,0,0,0,0,0,0
1,0,3,67,5.521460918,0,0,0,0,0,0,0
1,0,3.7,97,5.857933154,0,0,0,0,0,0,0
1,0,3.3,12,5.703782475,0,0,0,0,1,0,0
1,0,3.3,12,5.703782475,0,1,0,0,0,0,0
1,0,3.6,195,6.684611728,0,0,0,0,0,0,0
1,0,3.3,13,5.703782475,0,0,0,0,1,0,0
1,0,4.6,228,5.991464547,0,0,0,0,0,0,0
1,0,4.1,70,5.010635294,0,0,0,0,1,0,0
1,1,4.1,364,7.090076836,0,0,0,0,0,0,0
1,0,3.7,107,5.010635294,0,0,0,0,1,0,0
1,0,3.2,167,5.703782475,0,0,0,0,0,0,0
1,0,4,115,5.991464547,0,1,0,0,0,0,0
1,0,3.7,27,5.991464547,0,1,0,0,0,0,0
1,0,3.5,57,5.298317367,0,1,0,0,0,0,0
1,0,3.8,120,5.521460918,0,1,0,0,0,0,0
1,0,3.8,15,5.991464547,0,0,0,0,1,0,0
1,0,4.2,64,6.214608098,0,0,0,0,1,0,0
1,0,3.6,66,5.010635294,0,1,0,0,0,0,0
1,0,3,290,6.109247583,0,1,0,0,0,0,0
1,0,4.1,233,5.298317367,0,0,0,0,1,0,0
1,0,3.8,115,5.521460918,0,0,0,0,0,0,0
1,0,3.1,119,6.551080335,0,1,0,0,0,0,0
1,1,3.9,291,6.476972363,0,0,0,0,0,0,0
1,0,4.5,155,5.703782475,0,0,0,0,0,0,0
1,0,4.1,305,6.551080335,0,0,0,0,0,0,0
